날짜,시가,고가,저가,종가,거래량,등락률
2019-02-01,5471,5510,5413,5415,38799,-1.240196972460332
2019-02-07,5423,5471,5413,5423,30281,0.1477377654662973
2019-02-08,5423,5480,5423,5473,23754,0.9219988936013277
2019-02-11,5471,5530,5462,5512,54327,0.7125890736342043
2019-02-12,5490,5559,5471,5560,67068,0.8708272859216255
2019-02-13,5500,5588,5471,5522,54551,-0.6834532374100719
2019-02-14,5520,5540,5480,5512,30317,-0.18109380659181454
2019-02-15,5471,5550,5471,5473,79096,-0.7075471698113208
2019-02-18,5480,5530,5480,5531,46859,1.0597478530970217
2019-02-19,5530,5530,5480,5503,107400,-0.5062375700596637
2019-02-20,5530,5530,5480,5483,62014,-0.3634381246592767
2019-02-21,5520,5520,5471,5493,47513,0.1823819077147547
2019-02-22,5500,5510,5433,5443,72429,-0.9102494083378846
2019-02-25,5443,5500,5413,5423,68045,-0.36744442403086536
2019-02-26,5423,5500,5423,5473,49971,0.9219988936013277
2019-02-27,5530,5530,5453,5483,67466,0.18271514708569342
2019-02-28,5462,5500,5462,5483,24430,0.0
