Date,IR3TIB01CNM156N
2020-01-01,3.67
2020-02-01,2.98
2020-03-01,2.55
2020-04-01,2.32
2020-05-01,2.13
2020-06-01,2.54
2020-07-01,2.76
2020-08-01,2.97
2020-09-01,2.99
2020-10-01,3.18
2020-11-01,3.56
2020-12-01,3.33
