Date,CP0000GBM086NEST
2020-01-01,108.2
2020-02-01,108.6
2020-03-01,108.6
2020-04-01,108.5
2020-05-01,108.5
2020-06-01,108.6
2020-07-01,109.1
2020-08-01,108.6
2020-09-01,109.1
2020-10-01,109.1
2020-11-01,108.9
