날짜,시가,고가,저가,종가,거래량,등락률
2024-06-03,107600,110900,107400,109500,2221,1.9553072625698324
2024-06-04,109500,109600,107700,107900,1597,-1.461187214611872
2024-06-05,108000,108300,107700,107900,307,0.0
2024-06-07,109000,109300,107000,107800,1501,-0.09267840593141798
2024-06-10,107800,108100,105000,105100,1732,-2.504638218923933
2024-06-11,105200,105300,103700,104000,2244,-1.0466222645099905
2024-06-12,105500,105800,103600,105700,2114,1.6346153846153848
2024-06-13,106000,108500,105700,107400,1709,1.608325449385052
2024-06-14,107400,107500,106000,106100,1207,-1.2104283054003724
2024-06-17,107400,107400,104700,105000,661,-1.0367577756833177
2024-06-18,105100,106600,104000,104300,1264,-0.6666666666666667
2024-06-19,105400,108000,104900,105100,1938,0.7670182166826461
2024-06-20,106200,106200,104200,105100,2168,0.0
2024-06-21,104100,108200,104100,105000,1470,-0.09514747859181732
2024-06-24,105000,105000,103200,103400,2466,-1.5238095238095237
2024-06-25,103400,104200,103100,103800,1209,0.3868471953578337
2024-06-26,104000,104400,103200,103900,700,0.09633911368015415
2024-06-27,103900,104600,103100,104400,1026,0.4812319538017324
2024-06-28,105000,106100,104400,106000,2601,1.532567049808429
