news_title,news_category,news_date
"[SEN]에쓰씨엔지니어링, 94.1억원 규모 금호미쓰이화학 여수공장 프로젝트 2건 수주",증권종목·투자전략,2022.12.22
"에쓰씨엔지니어링, 94.1억원 규모 금호미쓰이화학 여수공장 프로젝트 2건 수주",사회사회이슈,2022.12.22
"[기업공시 12월19일]에이스테크, 166억 규모 종속사 에이스안테나 주식 취득 등",경제·금융경제·금융일반,2022.12.20
장 중 기업공시[12월19일],경제·금융경제·금융일반,2022.12.19
"[SEN]에쓰씨엔지니어링, 81억원 규모 금호석유화학 정밀화학공장 이설 공사 수주",증권종목·투자전략,2022.12.19
"에쓰씨엔지니어링, 81.3억원 규모 금호석유화학 정밀화학공장 이설공사 수주",사회사회이슈,2022.12.19
"<유>코오롱글로벌우, 상한가 진입.. +29.97% ↑",증권News봇,2022.11.25
"<유>에쓰씨엔지니어링, 3.50% 오르며 체결강도 강세 지속(168%)",증권News봇,2022.11.24
"<유>에쓰씨엔지니어링, 5.39% 오르며 체결강도 강세 지속(228%)",증권News봇,2022.11.24
"<유>에쓰씨엔지니어링, 3.48% 오르며 체결강도 강세 지속(123%)",증권News봇,2022.11.18
"<유>에쓰씨엔지니어링, 4.28% 오르며 체결강도 강세 지속(157%)",증권News봇,2022.11.18
"[SEN]에쓰씨엔지니어링, 3분기 누적 매출 952억원…전년비 127%↑",증권종목·투자전략,2022.11.15
"<유>에쓰씨엔지니어링, 3.25% 오르며 체결강도 강세 지속(165%)",증권News봇,2022.11.14
"<유>에쓰씨엔지니어링, 4.07% 오르며 체결강도 강세 지속(171%)",증권News봇,2022.11.14
"<유>에쓰씨엔지니어링, 3.25% 오르며 체결강도 강세로 반전(205%)",증권News봇,2022.11.14
"[SEN]에쓰씨엔지니어링, 헬스케어사업 대표 유산균 롯데홈쇼핑 ‘매진’",증권종목·투자전략,2022.11.11
"에쓰씨엔지니어링, 헬스케어사업 대표 유산균 롯데홈쇼핑 ‘매진’",사회사회이슈,2022.11.11
"<유>에쓰씨엔지니어링, 3.00% 오르며 체결강도 강세로 반전(121%)",증권News봇,2022.11.08
"<유>에쓰씨엔지니어링, 4.27% 오르며 체결강도 강세 지속(145%)",증권News봇,2022.11.07
"<유>에쓰씨엔지니어링, 4.27% 오르며 체결강도 강세 지속(183%)",증권News봇,2022.11.07
"<유>에쓰씨엔지니어링, 3.13% 오르며 체결강도 강세 지속(127%)",증권News봇,2022.11.07
"[ 기업공시 11월3일]하나기술, 239억 규모 원통형 2차전지 조립공정 턴키 장비 공급계약 등",증권종목·투자전략,2022.11.04
"<유>에쓰씨엔지니어링, 현재가 5.68% 급등",증권News봇,2022.10.27
국내 관절강주사 시장 콜라겐 성분 각광… 셀론텍 ‘카티졸’ 주목,사회사회이슈,2022.10.27
"[개장 시황] 코스피 2266.07.. 외국인과 기관의 순매수에 상승 출발 (▲16.51, +0.73%)",증권News봇,2022.10.27
"[기업공시 10월 26일]에쓰씨엔지니어링, 688억 규모 공사 수주 계약 체결 등",증권종목·투자전략,2022.10.27
장 중 기업공시 [10월 26일],증권국내증시,2022.10.26
"[마감 시황] 외국인 매수 우위.. 코스피 2249.56(▲14.49, +0.65%) 상승 마감",증권News봇,2022.10.26
"오후 3:20 현재 코스피는 43:57으로 매수우위, 매도강세 업종은 기계업(0.52%↑)",증권News봇,2022.10.26
"오후 3:00 현재 코스피는 42:58으로 매수우위, 매도강세 업종은 기계업(0.57%↑)",증권News봇,2022.10.26
"오후 2:30 현재 코스피는 42:58으로 매수우위, 매도강세 업종은 기계업(0.90%↑)",증권News봇,2022.10.26
"오후 2:00 현재 코스피는 42:58으로 매수우위, 매도강세 업종은 의료정밀업(0.79%↑)",증권News봇,2022.10.26
"오후 1:30 현재 코스피는 43:57으로 매수우위, 매도강세 업종은 기계업(0.91%↑)",증권News봇,2022.10.26
"오후 1:00 현재 코스피는 44:56으로 매수우위, 매도강세 업종은 전기전자업(2.36%↑)",증권News봇,2022.10.26
"오후 12:30 현재 코스피는 44:56으로 매수우위, 매도강세 업종은 기계업(1.37%↑)",증권News봇,2022.10.26
"[정오 시황] 코스피 2256.37, 상승세(▲21.30, +0.95%) 지속",증권News봇,2022.10.26
"오후 12:00 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 의료정밀업(1.82%↑)",증권News봇,2022.10.26
"오전 11:30 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 전기전자업(2.16%↑)",증권News봇,2022.10.26
"오전 11:00 현재 코스피는 43:57으로 매수우위, 매도강세 업종은 통신업(0.22%↑)",증권News봇,2022.10.26
"오전 10:30 현재 코스피는 43:57으로 매수우위, 매도강세 업종은 건설업(0.35%↑)",증권News봇,2022.10.26
"오전 10:00 현재 코스피는 43:57으로 매수우위, 매도강세 업종은 건설업(0.10%↓)",증권News봇,2022.10.26
"<유>에쓰씨엔지니어링, 상한가 진입.. +30.00% ↑",증권News봇,2022.10.26
"오전 9:30 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 의료정밀업(2.94%↑)",증권News봇,2022.10.26
"<유>에쓰씨엔지니어링, 현재가 6.32% 급등",증권News봇,2022.10.26
"[SEN]에쓰씨엔지니어링, 셀론텍 100% 완전 자회사 편입 완료",증권종목·투자전략,2022.10.20
"[기업공시 10월 19일]엘오티베큠, 217억 규모 태양광용 건식 진공 펌프 계약 등",증권국내증시,2022.10.20
장 중 기업공시[10월 19일],증권국내증시,2022.10.19
"에쓰씨엔지니어링, SK트리켐 반도체 소재 공장 46억원 규모 증축공사 수주",사회사회이슈,2022.10.19
"<유>에쓰씨엔지니어링, 장중 신저가 기록.. 1,420→1,350(▼70)",증권News봇,2022.10.13
"<유>에쓰씨엔지니어링, 장중 신저가 기록.. 1,485→1,440(▼45)",증권News봇,2022.10.12
"<유>에쓰씨엔지니어링, 장중 신저가 기록.. 1,510→1,500(▼10)",증권News봇,2022.10.11
"<유>에쓰씨엔지니어링, 3.14% 오르며 체결강도 강세 지속(184%)",증권News봇,2022.10.06
"[SEN]에쓰씨엔지니어링 子 셀론텍, 국제 스포츠의학회 참가",증권종목·투자전략,2022.10.06
"에쓰씨엔지니어링 子 셀론텍, 국제 스포츠의학회 참가...‘카티필·카티졸’ 해외시장 ‘호평’",사회사회이슈,2022.10.06
