news_title,news_category,news_date
"[청론직설] “미중 격돌 시대, 한미동맹 넘어 코커스·동아시아동맹까지 추진해야”",경제·금융정책,2023.03.15
"中 ""올 성장목표 5% 안팎"" 역대 최저 제시",국제경제·마켓,2023.03.05
美와 군비경쟁·대만 압박 '노림수'…국방비 10% 증액 가능성,국제정치·사회,2023.03.01
"美핵잠, 이례적 '입항' 공개…北에 경고 시그널",정치통일·외교·안보,2023.02.26
"中 ""일방적 대러 제재 중단을""…美 ""러 철군 땐 전쟁 당장 끝나""",국제정치·사회,2023.02.24
"존폐 위기 내몰린 ‘로톡’의 호소…“변협, 전향적 태도 보여달라”",산업기업,2023.02.23
대서양·인태 '더블동맹' VS 러중 스크럼…민주주의·권위주의 '이념 전쟁' 고착화,국제정치·사회,2023.02.20
"두 쪽 난 세계 공급망…""GDP 1조弗 증발""",경제·금융경제동향,2023.02.20
"'정찰풍선' 탓에 회담 70분으로…韓美 ""中, 대북 제재 완전한 이행해야""",국제정치·사회,2023.02.05
"중국, 인구도 성장률도 꺾이는데 한국의 갈 길은?[뒷북경제]",경제·금융경제동향,2023.01.22
"'테슬라' 쪽박인데 또 매입…""미·중 말고 여기 사세요"" [코주부]",증권국내증시,2023.01.15
외교부 업무보고 '가치연대' '동맹연대'강화…국익 극대화,정치대통령실,2023.01.11
올해 수출 키워드는…미중 경쟁·보조금 경쟁·탄소 통상 본격화,산업기업,2023.01.05
