날짜,시가총액,거래량,거래대금,상장주식수
2022-07-01,105195343520,98620,93496624,108337120
2022-07-04,105087006400,21571,20817161,108337120
2022-07-05,103461949600,109270,105237446,108337120
2022-07-06,101945229920,51312,48801477,108337120
2022-07-07,104003635200,64823,61721140,108337120
2022-07-08,104003635200,63978,61284424,108337120
2022-07-11,108337120000,193686,193282587,108337120
2022-07-12,109962176800,139643,139846915,108337120
2022-07-13,113753976000,98341,102322040,108337120
2022-07-14,117545775200,131106,141369915,108337120
2022-07-15,113212290400,70821,74703300,108337120
2022-07-18,115379032800,25587,26941415,108337120
2022-07-19,111587233600,41313,42744305,108337120
2022-07-20,110503862400,21301,22046205,108337120
2022-07-21,112670604800,42763,44130975,108337120
2022-07-22,113212290400,35823,37169165,108337120
2022-07-25,111587233600,11680,12131430,108337120
2022-07-26,113753976000,34943,36340605,108337120
2022-07-27,114295661600,13881,14484170,108337120
2022-07-28,111045548000,36986,38175015,108337120
2022-07-29,113753976000,23504,24367340,108337120
2022-08-01,115379032800,33715,35595890,108337120
2022-08-02,114837347200,15108,15940905,108337120
2022-08-03,114837347200,19159,20070680,108337120
2022-08-04,114837347200,24270,25420605,108337120
2022-08-05,111045548000,105563,109603905,108337120
2022-08-08,110503862400,56739,57995545,108337120
2022-08-09,109962176800,19227,19636780,108337120
2022-08-10,112670604800,8254968,9567762945,108337120
2022-08-11,114295661600,578075,609701430,108337120
2022-08-12,113212290400,166113,174212060,108337120
2022-08-16,114295661600,143072,150236980,108337120
2022-08-17,112670604800,162174,168365255,108337120
2022-08-18,111045548000,166009,170608390,108337120
2022-08-19,111045548000,89032,91485800,108337120
2022-08-22,108228782880,169705,170534192,108337120
2022-08-23,107253748800,151638,149369639,108337120
2022-08-24,107253748800,43727,43332887,108337120
2022-08-25,110503862400,74372,74468016,108337120
2022-08-26,108120445760,126638,126688673,108337120
2022-08-29,105520354880,59701,58042485,108337120
2022-08-30,107253748800,28907,28412679,108337120
2022-08-31,108120445760,40360,39879779,108337120
2022-09-01,105087006400,144462,141400782,108337120
2022-09-02,104978669280,65471,63597778,108337120
2022-09-05,105195343520,32705,31696360,108337120
2022-09-06,105087006400,30137,29243203,108337120
2022-09-07,104545320800,42154,40710299,108337120
2022-09-08,104978669280,27944,27087559,108337120
2022-09-13,106603726080,32117,31556597,108337120
2022-09-14,106170377600,52448,51211121,108337120
2022-09-15,107037074560,67083,65737120,108337120
2022-09-16,104328646560,114147,111289320,108337120
2022-09-19,105737029120,62942,60786811,108337120
2022-09-20,106062040480,37095,36090485,108337120
2022-09-21,105087006400,98092,95826969,108337120
2022-09-22,103678623840,106617,102108253,108337120
2022-09-23,103245275360,93865,89847636,108337120
2022-09-26,97936756480,207698,190941680,108337120
2022-09-27,97178396640,185536,165987375,108337120
2022-09-28,95228328480,194319,172402251,108337120
2022-09-29,96420036800,77428,69172875,108337120
2022-09-30,95336665600,97212,86046606,108337120
