상장주식수,보유수량,지분율,한도수량,한도소진률
5969782550,3042410816,50.97,5969782550,50.97
5969782550,3045471322,51.0,5969782550,51.0
5969782550,3047585024,51.06,5969782550,51.06
5969782550,3050116684,51.1,5969782550,51.1
5969782550,3050492697,51.1,5969782550,51.1
5969782550,3064926246,51.34,5969782550,51.34
5969782550,3068974241,51.4,5969782550,51.4
5969782550,3069825120,51.4,5969782550,51.4
5969782550,3074013419,51.5,5969782550,51.5
5969782550,3074047000,51.5,5969782550,51.5
5969782550,3072411061,51.47,5969782550,51.47
5969782550,3075861341,51.53,5969782550,51.53
5969782550,3080154519,51.6,5969782550,51.6
5969782550,3079372323,51.6,5969782550,51.6
5969782550,3080713573,51.62,5969782550,51.62
5969782550,3083353159,51.66,5969782550,51.66
5969782550,3086117183,51.7,5969782550,51.7
5969782550,3085388514,51.7,5969782550,51.7
5969782550,3088205952,51.72,5969782550,51.72
5969782550,3092645815,51.8,5969782550,51.8
