상장주식수,보유수량,지분율,한도수량,한도소진률
5969782550,3198780238,53.6,5969782550,53.6
5969782550,3198766066,53.6,5969782550,53.6
5969782550,3200393087,53.62,5969782550,53.62
5969782550,3199477897,53.6,5969782550,53.6
5969782550,3200188775,53.62,5969782550,53.62
5969782550,3202431552,53.62,5969782550,53.62
5969782550,3201813276,53.62,5969782550,53.62
5969782550,3205553159,53.7,5969782550,53.7
5969782550,3205293884,53.7,5969782550,53.7
5969782550,3206589733,53.72,5969782550,53.72
5969782550,3211917658,53.8,5969782550,53.8
5969782550,3212994240,53.8,5969782550,53.8
5969782550,3212936246,53.8,5969782550,53.8
5969782550,3213791579,53.84,5969782550,53.84
5969782550,3215447082,53.88,5969782550,53.88
5969782550,3218007431,53.9,5969782550,53.9
5969782550,3219187335,53.9,5969782550,53.9
5969782550,3218439877,53.9,5969782550,53.9
5969782550,3223296720,54.0,5969782550,54.0
