투자자구분,매도,매수,순매수
금융투자,257439458800,247589234100,-9850224700
보험,10398842900,6660532300,-3738310600
투신,20807148200,18545220700,-2261927500
사모,33914677800,15662390100,-18252287700
은행,39554100,112091500,72537400
기타금융,62924100,75329700,12405600
연기금 등,727338954100,709234624700,-18104329400
기관합계,1050001560000,997879423100,-52122136900
기타법인,13951962500,5481239000,-8470723500
개인,241148004800,189952612200,-51195392600
외국인,413412397104,525456577404,112044180300
기타외국인,948434300,692507000,-255927300
전체,1719462358704,1719462358704,0
