투자자구분,매도,매수,순매수
금융투자,66154541300,117881066300,51726525000
보험,11658432000,2880284300,-8778147700
투신,15786521800,8261092500,-7525429300
사모,13920941300,13598229000,-322712300
은행,1438507300,102879800,-1335627500
기타금융,315810100,536220600,220410500
연기금 등,344423363000,339267644600,-5155718400
기관합계,453698116800,482527417100,28829300300
기타법인,12252713200,4362517000,-7890196200
개인,532741563600,135967085800,-396774477800
외국인,212227716591,589193651191,376965934600
기타외국인,1844682300,714121400,-1130560900
전체,1212764792491,1212764792491,0
