투자자구분,매도,매수,순매수
금융투자,331745126600,163113822100,-168631304500
보험,12088770900,21831615300,9742844400
투신,15847926900,35042575800,19194648900
사모,28407925600,69563878200,41155952600
은행,469124000,403077800,-66046200
기타금융,147625300,1007383400,859758100
연기금 등,749469896500,742185666400,-7284230100
기관합계,1138176395800,1033148019000,-105028376800
기타법인,6374277200,9196110500,2821833300
개인,461948338600,223904593800,-238043744800
외국인,322791613000,663898050200,341106437200
기타외국인,1452458200,596309300,-856148900
전체,1930743082800,1930743082800,0
