투자자구분,매도,매수,순매수
금융투자,95002209100,181147300500,86145091400
보험,2270043600,32877703800,30607660200
투신,4903303100,30472267000,25568963900
사모,5183216300,9472855900,4289639600
은행,2118000000,1441861900,-676138100
기타금융,1691341400,578408600,-1112932800
연기금 등,362863015100,375494319500,12631304400
기관합계,474031128600,631484717200,157453588600
기타법인,5712899900,7137555900,1424656000
개인,438622501000,96305099700,-342317401300
외국인,204200609700,388635540700,184434931000
기타외국인,2039533300,1043759000,-995774300
전체,1124606672500,1124606672500,0
