투자자구분,매도,매수,순매수
금융투자,261995151700,92117532400,-169877619300
보험,15909051100,17167959500,1258908400
투신,13418793200,40839625200,27420832000
사모,18235479800,39836753500,21601273700
은행,2242687000,1104417900,-1138269100
기타금융,37501600,8715603900,8678102300
연기금 등,779456517500,796543697800,17087180300
기관합계,1091295181900,996325590200,-94969591700
기타법인,4477441700,9019680800,4542239100
개인,464226335400,361109415000,-103116920400
외국인,337841007800,531377810900,193536803100
기타외국인,1532639200,1540109100,7469900
전체,1899372606000,1899372606000,0
