투자자구분,매도,매수,순매수
금융투자,200388235600,152541348200,-47846887400
보험,6603930900,4021006500,-2582924400
투신,20879873500,15420180000,-5459693500
사모,9542700400,6969190800,-2573509600
은행,525025500,152099600,-372925900
기타금융,6338174500,220214100,-6117960400
연기금 등,486185331100,410646798700,-75538532400
기관합계,730463271500,589970837900,-140492433600
기타법인,9636974900,4833135700,-4803839200
개인,331804912400,170232579100,-161572333300
외국인,406920613336,714904142936,307983529600
기타외국인,1621284300,506360800,-1114923500
전체,1480447056436,1480447056436,0
