투자자구분,매도,매수,순매수
금융투자,122966078300,109264273000,-13701805300
보험,16315005700,4258624200,-12056381500
투신,25519358600,49801949900,24282591300
사모,27562378300,23228082200,-4334296100
은행,3506854400,3873300,-3502981100
기타금융,530167400,89849400,-440318000
연기금 등,519632888000,535965401300,16332513300
기관합계,716032730700,722612053300,6579322600
기타법인,18672080300,13790412300,-4881668000
개인,903868869400,202225950300,-701642919100
외국인,270887418200,973066411400,702178993200
기타외국인,3148501800,914773100,-2233728700
전체,1912609600400,1912609600400,0
