투자자구분,매도,매수,순매수
금융투자,138224632800,182519981500,44295348700
보험,18720024700,5825905200,-12894119500
투신,32616722900,48431214600,15814491700
사모,35033278000,27246499800,-7786778200
은행,2632767200,103326400,-2529440800
기타금융,603606200,606479200,2873000
연기금 등,606594441100,594800756700,-11793684400
기관합계,834425472900,859534163400,25108690500
기타법인,19812817800,7032540400,-12780277400
개인,844965938100,228828984700,-616136953400
외국인,357177440291,962800117991,605622677700
기타외국인,2791761100,977623700,-1814137400
전체,2059173430191,2059173430191,0
