투자자구분,매도,매수,순매수
금융투자,169355383600,147456648500,-21898735100
보험,7652446800,3056193200,-4596253600
투신,25165416800,17004791300,-8160625500
사모,27639651700,3118495400,-24521156300
은행,36349000,152099600,115750600
기타금융,6035456400,38234800,-5997221600
연기금 등,502068781500,476293227800,-25775553700
기관합계,737953485800,647119690600,-90833795200
기타법인,8970952300,5637003900,-3333948400
개인,187169668100,197269365000,10099696900
외국인,363105543438,447493407638,84387864200
기타외국인,1018614300,698796800,-319817500
전체,1298218263938,1298218263938,0
