Date,DEXCHUS
2022-01-03,6.355
2022-01-04,6.3721
2022-01-05,6.364
2022-01-06,6.3822
2022-01-07,6.3769
2022-01-10,6.3756
2022-01-11,6.3735
2022-01-12,6.358
2022-01-13,6.3595
2022-01-14,6.3524
2022-01-17,
2022-01-18,6.3525
2022-01-19,6.3447
2022-01-20,6.3406
2022-01-21,6.3385
2022-01-24,6.3304
2022-01-25,6.3257
2022-01-26,6.3206
2022-01-27,6.3677
2022-01-28,6.3605
2022-01-31,6.361
2022-02-01,6.361
2022-02-02,6.361
2022-02-03,6.361
2022-02-04,6.361
2022-02-07,6.361
2022-02-08,6.366
2022-02-09,6.3619
2022-02-10,6.3526
2022-02-11,6.354
2022-02-14,6.3567
2022-02-15,6.3385
2022-02-16,6.3366
2022-02-17,6.3381
2022-02-18,6.3251
2022-02-21,
2022-02-22,6.326
2022-02-23,6.3134
2022-02-24,6.3283
2022-02-25,6.3169
2022-02-28,6.3084
2022-03-01,6.3116
2022-03-02,6.321
2022-03-03,6.3195
2022-03-04,6.3188
2022-03-07,6.3194
2022-03-08,6.3178
2022-03-09,6.3174
2022-03-10,6.3212
2022-03-11,6.3389
2022-03-14,6.3645
2022-03-15,6.3696
2022-03-16,6.351
2022-03-17,6.3459
2022-03-18,6.3609
2022-03-21,6.3552
2022-03-22,6.366
2022-03-23,6.372
2022-03-24,6.367
2022-03-25,6.3658
2022-03-28,6.3714
2022-03-29,6.3635
2022-03-30,6.347
2022-03-31,6.3393
2022-04-01,6.3625
2022-04-04,6.3619
2022-04-05,6.3619
2022-04-06,6.359
2022-04-07,6.36
2022-04-08,6.3643
2022-04-11,6.3692
2022-04-12,6.3651
2022-04-13,6.3678
2022-04-14,6.3775
2022-04-15,6.3705
2022-04-18,6.363
2022-04-19,6.393
2022-04-20,6.4188
2022-04-21,6.45
2022-04-22,6.501
2022-04-25,6.5585
2022-04-26,6.5552
2022-04-27,6.5595
2022-04-28,6.6243
2022-04-29,6.608
2022-05-02,6.6079
2022-05-03,6.6079
2022-05-04,6.6079
2022-05-05,6.6535
2022-05-06,6.6651
2022-05-09,6.7295
2022-05-10,6.7343
2022-05-11,6.7186
2022-05-12,6.786
2022-05-13,6.788
2022-05-16,6.7852
2022-05-17,6.7361
2022-05-18,6.754
2022-05-19,6.7109
2022-05-20,6.6921
2022-05-23,6.649
2022-05-24,6.653
2022-05-25,6.6916
2022-05-26,6.738
2022-05-27,6.698
2022-05-30,
2022-05-31,6.6715
2022-06-01,6.6858
2022-06-02,6.6596
2022-06-03,6.6595
2022-06-06,6.6534
2022-06-07,6.6675
2022-06-08,6.6825
2022-06-09,6.6915
2022-06-10,6.7081
2022-06-13,6.753
2022-06-14,6.7395
2022-06-15,6.7128
2022-06-16,6.703
2022-06-17,6.716
2022-06-20,
2022-06-21,6.688
2022-06-22,6.6983
2022-06-23,6.698
2022-06-24,6.6878
2022-06-27,6.6899
2022-06-28,6.707
2022-06-29,6.6997
2022-06-30,6.6981
