날짜,시가,고가,저가,종가,거래량,등락률
2024-02-01,9270,9270,9110,9220,1313,-0.5393743257820928
2024-02-02,9220,9280,9220,9250,359,0.32537960954446854
2024-02-05,9560,9560,9090,9140,1205,-1.1891891891891893
2024-02-06,9170,9490,9010,9140,918,0.0
2024-02-07,9190,9490,9010,9140,1142,0.0
2024-02-08,9160,9180,9060,9160,348,0.2188183807439825
2024-02-13,9170,9490,9150,9250,1742,0.9825327510917031
2024-02-14,9350,9350,8800,9350,1254,1.0810810810810811
2024-02-15,9400,9400,9100,9100,1856,-2.6737967914438503
2024-02-16,9180,9380,9040,9040,1641,-0.6593406593406593
2024-02-19,9070,9190,9030,9120,1111,0.8849557522123894
2024-02-20,9120,9120,9000,9090,916,-0.3289473684210526
2024-02-21,9070,9280,9050,9120,451,0.33003300330033003
2024-02-22,9130,9150,8760,8920,2241,-2.1929824561403506
2024-02-23,8990,9290,8800,8930,2422,0.11210762331838565
2024-02-26,8920,8950,8620,8920,3479,-0.11198208286674133
2024-02-27,8920,8920,8770,8840,880,-0.8968609865470852
2024-02-28,8840,9000,8830,8870,461,0.3393665158371041
2024-02-29,8870,8910,8700,8870,1771,0.0
