상장주식수,보유수량,지분율,한도수량,한도소진률
5969782550,3025304438,50.7,5969782550,50.7
5969782550,3028440362,50.72,5969782550,50.72
5969782550,3026692932,50.7,5969782550,50.7
5969782550,3028003920,50.72,5969782550,50.72
5969782550,3027159704,50.72,5969782550,50.72
5969782550,3028979700,50.75,5969782550,50.75
5969782550,3025292658,50.7,5969782550,50.7
5969782550,3024992666,50.66,5969782550,50.66
5969782550,3026204650,50.7,5969782550,50.7
5969782550,3024837845,50.66,5969782550,50.66
5969782550,3025958110,50.7,5969782550,50.7
5969782550,3027317381,50.72,5969782550,50.72
5969782550,3029991631,50.75,5969782550,50.75
5969782550,3028104808,50.72,5969782550,50.72
5969782550,3028614032,50.72,5969782550,50.72
5969782550,3030156153,50.75,5969782550,50.75
5969782550,3033717796,50.8,5969782550,50.8
5969782550,3040249034,50.94,5969782550,50.94
5969782550,3040001094,50.9,5969782550,50.9
5969782550,3040243186,50.94,5969782550,50.94
5969782550,3036800280,50.88,5969782550,50.88
5969782550,3036413170,50.88,5969782550,50.88
