BPS,PER,PBR,EPS,DIV,DPS
50817,8.94,1.42,8057,2.01,1444
50817,9.01,1.43,8057,1.99,1444
50817,8.84,1.4,8057,2.03,1444
50817,8.9,1.41,8057,2.01,1444
50817,8.87,1.41,8057,2.02,1444
50817,9.01,1.43,8057,1.99,1444
50817,9.06,1.44,8057,1.98,1444
50817,9.12,1.45,8057,1.96,1444
50817,9.04,1.43,8057,1.98,1444
50817,9.07,1.44,8057,1.98,1444
50817,9.1,1.44,8057,1.97,1444
50817,9.05,1.43,8057,1.98,1444
50817,9.11,1.44,8057,1.97,1444
50817,9.28,1.47,8057,1.93,1444
50817,9.31,1.48,8057,1.93,1444
50817,9.42,1.49,8057,1.9,1444
50817,9.51,1.51,8057,1.89,1444
50817,9.68,1.53,8057,1.85,1444
50817,9.74,1.54,8057,1.84,1444
