Date,DEXUSEU
2023-01-02,
2023-01-03,1.0559
2023-01-04,1.062
2023-01-05,1.0522
2023-01-06,1.0619
2023-01-09,1.0759
2023-01-10,1.0737
2023-01-11,1.074
2023-01-12,1.0823
2023-01-13,1.0811
2023-01-16,
2023-01-17,1.0793
2023-01-18,1.0827
2023-01-19,1.081
2023-01-20,1.0831
2023-01-23,1.0865
2023-01-24,1.0873
2023-01-25,1.0901
2023-01-26,1.0866
2023-01-27,1.0857
2023-01-30,1.0867
2023-01-31,1.0858
2023-02-01,1.0917
2023-02-02,1.0918
2023-02-03,1.0825
2023-02-06,1.0722
2023-02-07,1.0705
2023-02-08,1.0734
2023-02-09,1.0761
2023-02-10,1.067
2023-02-13,1.0718
2023-02-14,1.0722
2023-02-15,1.0683
2023-02-16,1.0684
2023-02-17,1.0678
2023-02-20,
2023-02-21,1.0657
2023-02-22,1.0623
2023-02-23,1.0583
2023-02-24,1.0545
2023-02-27,1.0596
2023-02-28,1.0602
2023-03-01,1.0674
2023-03-02,1.0595
2023-03-03,1.0616
2023-03-06,1.0694
2023-03-07,1.0573
2023-03-08,1.0549
2023-03-09,1.0577
2023-03-10,1.0659
2023-03-13,1.0733
2023-03-14,1.0722
2023-03-15,1.0535
2023-03-16,1.0622
2023-03-17,1.0647
2023-03-20,1.0722
2023-03-21,1.0769
2023-03-22,1.0792
2023-03-23,1.089
2023-03-24,1.0762
2023-03-27,1.0789
2023-03-28,1.0844
2023-03-29,1.0826
2023-03-30,1.0899
2023-03-31,1.0872
2023-04-03,1.0891
2023-04-04,1.0951
2023-04-05,1.0918
2023-04-06,1.0927
2023-04-07,1.0913
2023-04-10,1.084
2023-04-11,1.0906
2023-04-12,1.0987
2023-04-13,1.1054
2023-04-14,1.098
2023-04-17,1.0915
2023-04-18,1.0958
2023-04-19,1.0953
2023-04-20,1.097
2023-04-21,1.0973
2023-04-24,1.1027
2023-04-25,1.0968
2023-04-26,1.1052
2023-04-27,1.1017
2023-04-28,1.104
2023-05-01,1.097
2023-05-02,1.0997
2023-05-03,1.1049
2023-05-04,1.1009
2023-05-05,1.1026
2023-05-08,1.102
2023-05-09,1.0953
2023-05-10,1.0966
2023-05-11,1.0916
2023-05-12,1.0856
2023-05-15,1.0874
2023-05-16,1.0866
2023-05-17,1.083
2023-05-18,1.0776
2023-05-19,1.0819
2023-05-22,1.0806
2023-05-23,1.0771
2023-05-24,1.0758
2023-05-25,1.0725
2023-05-26,1.0713
2023-05-29,
2023-05-30,1.0722
2023-05-31,1.0654
2023-06-01,1.0752
2023-06-02,1.0724
2023-06-05,1.0721
2023-06-06,1.0695
2023-06-07,1.0702
2023-06-08,1.078
2023-06-09,1.0749
2023-06-12,1.0747
2023-06-13,1.0792
2023-06-14,1.0859
2023-06-15,1.0933
2023-06-16,1.0925
2023-06-19,
2023-06-20,1.09
2023-06-21,1.0951
2023-06-22,1.0953
2023-06-23,1.0887
2023-06-26,1.091
2023-06-27,1.0961
2023-06-28,1.0904
2023-06-29,1.0881
2023-06-30,1.092
2023-07-03,1.0919
2023-07-04,
2023-07-05,1.0868
2023-07-06,1.0873
2023-07-07,1.0964
2023-07-10,1.0991
2023-07-11,1.0992
2023-07-12,1.1123
2023-07-13,1.1194
2023-07-14,1.1237
2023-07-17,1.1236
2023-07-18,1.1223
2023-07-19,1.1195
2023-07-20,1.1135
2023-07-21,1.112
2023-07-24,1.1083
2023-07-25,1.105
2023-07-26,1.1078
2023-07-27,1.0998
2023-07-28,1.1039
2023-07-31,1.102
2023-08-01,1.0971
2023-08-02,1.0939
2023-08-03,1.0947
2023-08-04,1.1036
2023-08-07,1.1
2023-08-08,1.0951
2023-08-09,1.0975
2023-08-10,1.1016
2023-08-11,1.0957
2023-08-14,1.0922
2023-08-15,1.0928
2023-08-16,1.0904
2023-08-17,1.0874
2023-08-18,1.0875
2023-08-21,1.0888
2023-08-22,1.0846
2023-08-23,1.0862
2023-08-24,1.0826
2023-08-25,1.0787
2023-08-28,1.081
2023-08-29,1.0851
2023-08-30,1.0926
2023-08-31,1.0839
2023-09-01,1.0787
2023-09-04,
2023-09-05,1.0727
2023-09-06,1.0714
