BPS,PER,PBR,EPS,DIV,DPS
50817,9.06,1.44,8057,1.98,1444
50817,9.06,1.44,8057,1.98,1444
50817,8.94,1.42,8057,2.01,1444
50817,8.89,1.41,8057,2.02,1444
50817,8.68,1.38,8057,2.07,1444
50817,8.63,1.37,8057,2.08,1444
50817,8.87,1.41,8057,2.02,1444
50817,8.92,1.41,8057,2.01,1444
50817,8.92,1.41,8057,2.01,1444
50817,9.11,1.44,8057,1.97,1444
50817,9.1,1.44,8057,1.97,1444
50817,8.94,1.42,8057,2.01,1444
50817,8.9,1.41,8057,2.01,1444
50817,8.81,1.4,8057,2.03,1444
50817,8.73,1.38,8057,2.05,1444
50817,8.74,1.39,8057,2.05,1444
50817,8.69,1.38,8057,2.06,1444
50817,8.66,1.37,8057,2.07,1444
50817,8.9,1.41,8057,2.01,1444
50817,8.76,1.39,8057,2.05,1444
50817,8.66,1.37,8057,2.07,1444
