Date,IR3TIB01CNM156N
2023-01-01,2.9
2023-02-01,2.94
2023-03-01,3.05
2023-04-01,2.89
2023-05-01,2.98
2023-06-01,2.81
2023-07-01,2.57
2023-08-01,2.63
2023-09-01,2.64
2023-10-01,2.73
2023-11-01,2.88
2023-12-01,3.02
