투자자구분,매도,매수,순매수
금융투자,122039194000,192155523500,70116329500
보험,8120355700,8369855500,249499800
투신,20057547500,26244018500,6186471000
사모,14589777400,49054886300,34465108900
은행,1246718300,523782300,-722936000
기타금융,628053500,825438900,197385400
연기금 등,501645384000,492688818700,-8956565300
기관합계,668327030400,769862323700,101535293300
기타법인,13058794000,2425480800,-10633313200
개인,586218589200,141809686500,-444408902700
외국인,223310839426,578382596526,355071757100
기타외국인,2265439700,700605200,-1564834500
전체,1493180692726,1493180692726,0
