투자자구분,매도,매수,순매수
금융투자,85253069000,220760703900,135507634900
보험,8635521000,5574303200,-3061217800
투신,16820212100,16449626700,-370585400
사모,24364303500,32086272300,7721968800
은행,1040998100,847936800,-193061300
기타금융,4058300,1393417000,1389358700
연기금 등,608240103700,603781503500,-4458600200
기관합계,744358265700,880893763400,136535497700
기타법인,6540426400,5596314000,-944112400
개인,314599245000,182776301900,-131822943100
외국인,346896187812,343802332612,-3093855200
기타외국인,1071073600,396486600,-674587000
전체,1413465198512,1413465198512,0
