투자자구분,매도,매수,순매수
금융투자,280196498600,233281916600,-46914582000
보험,3962246800,4837468400,875221600
투신,9904814400,15455204100,5550389700
사모,12834377400,5316463100,-7517914300
은행,4454800,3296322200,3291867400
기타금융,1044138700,146347100,-897791600
연기금 등,535941967100,521737886200,-14204080900
기관합계,843888497800,784071607700,-59816890100
기타법인,8667603900,11189941800,2522337900
개인,206545532800,387125152000,180579619200
외국인,655437766400,531151020200,-124286746200
기타외국인,381960300,1383639500,1001679200
전체,1714921361200,1714921361200,0
