투자자구분,매도,매수,순매수
금융투자,228031323700,266696818600,38665494900
보험,5543202100,9237313000,3694110900
투신,27440311100,11529290400,-15911020700
사모,32744061600,28788549700,-3955511900
은행,1126716600,318627600,-808089000
기타금융,1103818400,388350100,-715468300
연기금 등,474310044800,496537732900,22227688100
기관합계,770299478300,813496682300,43197204000
기타법인,7297866300,7035433600,-262432700
개인,414951443800,197862797400,-217088646400
외국인,500396594632,674866520532,174469925900
기타외국인,1413982000,1097931200,-316050800
전체,1694359365032,1694359365032,0
