투자자구분,매도,매수,순매수
금융투자,113731871100,204374397700,90642526600
보험,7008091000,7591849900,583758900
투신,8202135200,15909344600,7707209400
사모,4468400600,11600647100,7132246500
은행,182500000,1071499600,888999600
기타금융,763076200,351729300,-411346900
연기금 등,524372176500,516474954900,-7897221600
기관합계,658728250600,757374423100,98646172500
기타법인,8659966500,7232214200,-1427752300
개인,375939521600,238830593900,-137108927700
외국인,489299753400,529892331600,40592578200
기타외국인,1286251400,584180700,-702070700
전체,1533913743500,1533913743500,0
