투자자구분,매도,매수,순매수
금융투자,88161337400,142863430900,54702093500
보험,5266831100,6624266700,1357435600
투신,8131962100,11451424800,3319462700
사모,7970335700,8558537300,588201600
은행,600831600,2580681000,1979849400
기타금융,253130900,4020106400,3766975500
연기금 등,533920754100,531038587300,-2882166800
기관합계,644305182900,707137034400,62831851500
기타법인,18528030500,6999543400,-11528487100
개인,293790339700,321558125500,27767785800
외국인,526600592196,447489390396,-79111201800
기타외국인,1214535300,1254586900,40051600
전체,1484438680596,1484438680596,0
