투자자구분,매도,매수,순매수
금융투자,154100713300,30585206000,-123515507300
보험,5771120400,3678887100,-2092233300
투신,6013872200,16633508200,10619636000
사모,5420572700,14610393600,9189820900
은행,822644200,0,-822644200
기타금융,70738500,879800,-69858700
연기금 등,336705179900,327393126400,-9312053500
기관합계,508904841200,392902001100,-116002840100
기타법인,8763031900,3636605300,-5126426600
개인,441143739600,98334716800,-342809022800
외국인,187411534900,652474703400,465063168500
기타외국인,1581436900,456557900,-1124879000
전체,1147804584500,1147804584500,0
