투자자구분,매도,매수,순매수
금융투자,29827010200,165777887700,135950877500
보험,1925112800,4644511400,2719398600
투신,3284524600,7596179400,4311654800
사모,1974004100,9737968900,7763964800
은행,0,56412500,56412500
기타금융,640565200,142889400,-497675800
연기금 등,252107261800,240555154400,-11552107400
기관합계,289758478700,428511003700,138752525000
기타법인,6479186700,2606939700,-3872247000
개인,276900146000,63603954300,-213296191700
외국인,260963057000,340083948000,79120891000
기타외국인,907084200,202106900,-704977300
전체,835007952600,835007952600,0
