투자자구분,매도,매수,순매수
금융투자,193326531400,226701229200,33374697800
보험,4662137700,5932206900,1270069200
투신,9684861400,16403149300,6718287900
사모,14405823200,6394488800,-8011334400
은행,1249300,4245630900,4244381600
기타금융,47014600,334175800,287161200
연기금 등,500319733700,503868509100,3548775400
기관합계,722447351300,763879390000,41432038700
기타법인,9154581900,15018566800,5863984900
개인,206546424900,409400400700,202853975800
외국인,630537350354,379337298454,-251200051900
기타외국인,502135600,1552188100,1050052500
전체,1569187844054,1569187844054,0
