투자자구분,매도,매수,순매수
금융투자,53283696800,100890935500,47607238700
보험,3764139500,2338904800,-1425234700
투신,8702520900,2639149400,-6063371500
사모,17850023900,3185818200,-14664205700
은행,9218800,602710000,593491200
기타금융,684100,1392917000,1392232900
연기금 등,284856348400,282595535200,-2260813200
기관합계,368466632400,393645970100,25179337700
기타법인,1909369100,4376243500,2466874400
개인,143135412600,118394595400,-24740817200
외국인,173246129900,170526937000,-2719192900
기타외국인,412550400,226348400,-186202000
전체,687170094400,687170094400,0
