투자자구분,매도,매수,순매수
금융투자,30305299500,72225544200,41920244700
보험,2256950700,2313716000,56765300
투신,3590132200,6991548800,3401416600
사모,1669215300,5438326900,3769111600
은행,600000000,602328400,2328400
기타금융,206597700,2154864400,1948266700
연기금 등,308637772000,317221787100,8584015100
기관합계,347265967400,406948115800,59682148400
기타법인,15434857400,2260958800,-13173898600
개인,192779810800,120698744200,-72081066600
외국인,208906202096,234650060296,25743858200
기타외국인,858485100,687443700,-171041400
전체,765245322796,765245322796,0
