투자자구분,매도,매수,순매수
금융투자,220805946500,85030419700,-135775526800
보험,10380163200,3846577100,-6533586100
투신,26143711400,12334442900,-13809268500
사모,22331620400,19056083900,-3275536500
은행,1775778400,506204800,-1269573600
기타금융,369246300,34473400,-334772900
연기금 등,771438205400,726812638700,-44625566700
기관합계,1053244671600,847620840500,-205623831100
기타법인,4981863700,3822011900,-1159851800
개인,300904242400,193796694800,-107107547600
외국인,278870033328,593415853028,314545819700
기타외국인,1111458100,456868900,-654589200
전체,1639112269128,1639112269128,0
