투자자구분,매도,매수,순매수
금융투자,366483396000,80261620600,-286221775400
보험,5857185800,11442711000,5585525200
투신,14722311200,51818545100,37096233900
사모,19190733000,58118667700,38927934700
은행,2341736800,2236685400,-105051400
기타금융,91032500,383635500,292603000
연기금 등,865201484800,833131486400,-32069998400
기관합계,1273887880100,1037393351700,-236494528400
기타법인,14343381200,6607072300,-7736308900
개인,430807692100,166778221200,-264029470900
외국인,515704279028,1024653706228,508949427200
기타외국인,1265268600,576149600,-689119000
전체,2236008501028,2236008501028,0
