투자자구분,매도,매수,순매수
금융투자,80194344100,104015944000,23821599900
보험,5441209400,6894739700,1453530300
투신,10829719200,67774218400,56944499200
사모,5336111800,43431652600,38095540800
은행,3337150300,80331800,-3256818500
기타금융,88986700,841700,-88145000
연기금 등,332758413400,329046818300,-3711595100
기관합계,437985934900,551244546500,113258611600
기타법인,22679769100,16145244100,-6534525000
개인,1226010211800,242928029000,-983082182800
외국인,86466539400,967629360400,881162821000
기타외국인,5066488500,261763700,-4804724800
전체,1778208943700,1778208943700,0
