투자자구분,매도,매수,순매수
금융투자,148069976500,181676913700,33606937200
보험,10283804100,7571476200,-2712327900
투신,16387333800,31773337300,15386003500
사모,9548747300,38193651500,28644904200
은행,2288173500,2288458100,284600
기타금융,2833990600,498602700,-2335387900
연기금 등,892200116500,896410780400,4210663900
기관합계,1081612142300,1158413219900,76801077600
기타법인,13927324000,5145482700,-8781841300
개인,753609142200,313078726800,-440530415400
외국인,456348436111,829674185211,373325749100
기타외국인,2122737300,1308167300,-814570000
전체,2307619781911,2307619781911,0
