투자자구분,매도,매수,순매수
금융투자,159736017200,375495383300,215759366100
보험,4502898700,2437520700,-2065378000
투신,45682542300,19080161000,-26602381300
사모,85623698100,5679980300,-79943717800
은행,960416300,1436059900,475643600
기타금융,2981818900,11662800,-2970156100
연기금 등,712217876400,719935722400,7717846000
기관합계,1011705267900,1124076490400,112371222500
기타법인,5053322200,8923219500,3869897300
개인,328439544800,321305948400,-7133596400
외국인,710199449405,601559572005,-108639877400
기타외국인,1055805500,588159500,-467646000
전체,2056453389805,2056453389805,0
