투자자구분,매도,매수,순매수
금융투자,157284957000,106673317500,-50611639500
보험,15030148000,11773281200,-3256866800
투신,27894450200,21463131700,-6431318500
사모,18625235700,9216350400,-9408885300
은행,829026000,522539900,-306486100
기타금융,74903800,743153900,668250100
연기금 등,595125573800,585104030100,-10021543700
기관합계,814864294500,735495804700,-79368489800
기타법인,7821785000,5730825500,-2090959500
개인,350809918100,253896041200,-96913876900
외국인,288657924900,467681816900,179023892000
기타외국인,1223794400,573228600,-650565800
전체,1463377716900,1463377716900,0
