투자자구분,매도,매수,순매수
금융투자,295263151900,71309633800,-223953518100
보험,10360397900,2360072600,-8000325300
투신,25153981200,14248810400,-10905170800
사모,24846625500,13111853300,-11734772200
은행,5125653500,653455000,-4472198500
기타금융,234505300,34924000,-199581300
연기금 등,831473416900,774087848100,-57385568800
기관합계,1192457732200,875806597200,-316651135000
기타법인,9261860100,5502479100,-3759381000
개인,381692197300,230128753000,-151563444300
외국인,259922808800,732438225600,472515416800
기타외국인,1300466900,759010400,-541456500
전체,1844635065300,1844635065300,0
