투자자구분,매도,매수,순매수
금융투자,231563821600,177359378000,-54204443600
보험,8008778800,9972192200,1963413400
투신,57709748500,13533278500,-44176470000
사모,38446973100,35947787800,-2499185300
은행,390879000,1235846900,844967900
기타금융,483070600,4706100,-478364500
연기금 등,615963330100,588178315200,-27785014900
기관합계,952566601700,826231504700,-126335097000
기타법인,6215716000,7519231500,1303515500
개인,313238456800,300221121700,-13017335100
외국인,251756716900,391002702500,139245985600
기타외국인,1964482300,767413300,-1197069000
전체,1525741973700,1525741973700,0
