투자자구분,매도,매수,순매수
금융투자,109317596900,119506744600,10189147700
보험,4197769700,5683370800,1485601100
투신,62059882200,26247600900,-35812281300
사모,31985406200,4817261900,-27168144300
은행,227620100,2186844600,1959224500
기타금융,886501600,80903900,-805597700
연기금 등,922148186300,875292507900,-46855678400
기관합계,1130822963000,1033815234600,-97007728400
기타법인,20473089400,11720379500,-8752709900
개인,308933716400,367548722700,58615006300
외국인,387249293124,434182822524,46933529400
기타외국인,748867300,960769900,211902600
전체,1848227929224,1848227929224,0
