투자자구분,매도,매수,순매수
금융투자,226930031800,301076765800,74146734000
보험,6768875200,5514699100,-1254176100
투신,24832367200,10046249600,-14786117600
사모,70262159700,12601299500,-57660860200
은행,118064200,138634100,20569900
기타금융,1224210900,5258300,-1218952600
연기금 등,676100292600,648636930500,-27463362100
기관합계,1006236001600,978019836900,-28216164700
기타법인,6173716800,9229394300,3055677500
개인,388887841400,186683253900,-202204587500
외국인,577850883890,806401555290,228550671400
기타외국인,1625822500,440225800,-1185596700
전체,1980774266190,1980774266190,0
