투자자구분,매도,매수,순매수
금융투자,146795977000,167666912000,20870935000
보험,4395922900,4659792600,263869700
투신,49666873600,11249677700,-38417195900
사모,34330070800,29956178000,-4373892800
은행,315075700,314403700,-672000
기타금융,186447200,1744065000,1557617800
연기금 등,417561727500,367312031500,-50249696000
기관합계,653252094700,582903060500,-70349034200
기타법인,4897368600,3142795400,-1754573200
개인,313187558600,127656937300,-185530621300
외국인,337554861602,595868904602,258314043000
기타외국인,1009996300,330182000,-679814300
전체,1309901879802,1309901879802,0
