투자자구분,매도,매수,순매수
금융투자,92323305900,67062573900,-25260732000
보험,4231887700,5000312700,768425000
투신,4049732200,26386186800,22336454600
사모,5410709400,15939332800,10528623400
은행,1314930900,291662900,-1023268000
기타금융,1136119900,496102900,-640017000
연기금 등,463956346700,452612413500,-11343933200
기관합계,572423032700,567788585500,-4634447200
기타법인,7391588300,3814319000,-3577269300
개인,480088572400,191195146600,-288893425800
외국인,171891149371,469335344471,297444195100
기타외국인,1429122300,1090069500,-339052800
전체,1233223465071,1233223465071,0
