news_title,news_category,news_date
"<유>서원, 3.53% 오르며 체결강도 강세로 반전(113%)",증권News봇,2019.12.30
"<유>서원, 매수잔량 311% 급증",증권News봇,2019.12.27
"<유>서원, 전일 대비 7.06% 상승.. 일일회전율은 6.28% 기록",증권News봇,2019.12.26
"<유>서원, 매도잔량 334% 급증",증권News봇,2019.12.26
"<유>서원, 3.53% 오르며 체결강도 강세로 반전(120%)",증권News봇,2019.12.26
"<유>서원, 매수잔량 317% 급증",증권News봇,2019.12.24
"<유>서원, 매도잔량 310% 급증",증권News봇,2019.12.23
"오전 10:30 현재 코스피는 51:49으로 매도우위, 매도강세 업종은 섬유의복업(0.46%↑)",증권News봇,2019.12.20
"<유>서원, 전일 대비 7.45% 상승.. 일일회전율은 34.31% 기록",증권News봇,2019.12.20
"<유>서원, 매도잔량 330% 급증",증권News봇,2019.12.20
"오전 9:30 현재 코스피는 51:49으로 매도우위, 매도강세 업종은 섬유의복업(0.72%↑)",증권News봇,2019.12.20
"<유>서원, 장중 신고가 돌파.. 3,030→3,085(▲55)",증권News봇,2019.12.20
"<유>서원, 매도잔량 317% 급증",증권News봇,2019.12.20
"<유>서원, 5.09% 오르며 체결강도 강세로 반전(128%)",증권News봇,2019.12.20
"<유>서원, 장중 신고가 돌파.. 2,840→2,845(▲5)",증권News봇,2019.12.19
"<유>서원, 전일 대비 7.16% 상승.. 일일회전율은 18.34% 기록",증권News봇,2019.12.19
"<유>서원, 4.97% 오르며 체결강도 강세로 반전(111%)",증권News봇,2019.12.19
"<유>남선알미우, 상한가 진입.. +30.00% ↑",증권News봇,2019.12.18
"[개장 시황] 코스피 2194.92.. 기관의 '팔자' 기조에 하락 출발 (▼0.76, -0.03%)",증권News봇,2019.12.18
"<유>서원, 장중 신고가 돌파.. 2,480→2,765(▲285)",증권News봇,2019.12.18
장 마감 후 기업공시[12월 17일],증권,2019.12.17
"[마감 시황] 외국인 매수 우위.. 코스피 2195.68(▲27.53, +1.27%) 상승 마감",증권News봇,2019.12.17
"오후 3:20 현재 코스피는 50:50으로 보합세, 매도강세 업종은 음식료품업(0.23%↓)",증권News봇,2019.12.17
