투자자구분,매도,매수,순매수
금융투자,150862371700,305612609000,154750237300
보험,8339787300,5636296500,-2703490800
투신,10041644500,30529884900,20488240400
사모,57936519900,21053630900,-36882889000
은행,1436301600,2314066000,877764400
기타금융,617607500,1424507300,806899800
연기금 등,495471542900,487318528700,-8153014200
기관합계,724705775400,853889523300,129183747900
기타법인,40900732700,5967989900,-34932742800
개인,1307382936100,325591144200,-981791791900
외국인,257567603900,1149668130900,892100527000
기타외국인,6252338700,1692598500,-4559740200
전체,2336809386800,2336809386800,0
