투자자구분,매도,매수,순매수
금융투자,57140554000,301990115000,244849561000
보험,12145514800,7414353500,-4731161300
투신,30035516600,10758373800,-19277142800
사모,24564884900,13633147300,-10931737600
은행,1575500,301224200,299648700
기타금융,19420800,31777200,12356400
연기금 등,487606907300,518337377400,30730470100
기관합계,611514373900,852466368400,240951994500
기타법인,16649744700,9616477700,-7033267000
개인,495355428500,295731948700,-199623479800
외국인,451849531366,419715073366,-32134458000
기타외국인,3233271100,1072481400,-2160789700
전체,1578602349566,1578602349566,0
