투자자구분,매도,매수,순매수
금융투자,116310983100,71719423700,-44591559400
보험,4163051900,8280090900,4117039000
투신,6944755900,19769631500,12824875600
사모,8200130200,23798513400,15598383200
은행,458323200,143665900,-314657300
기타금융,717677100,10319800,-707357300
연기금 등,583428804100,597619714400,14190910300
기관합계,720223725500,721341359600,1117634100
기타법인,67691357700,3228433700,-64462924000
개인,318528888800,200792286700,-117736602100
외국인,402090741727,583540556227,181449814500
기타외국인,1095783000,727860500,-367922500
전체,1509630496727,1509630496727,0
