투자자구분,매도,매수,순매수
금융투자,133024529000,119837715700,-13186813300
보험,3286226900,5463460200,2177233300
투신,10400741000,18438254600,8037513600
사모,11229128700,16009730800,4780602100
은행,1232323200,80191700,-1152131500
기타금융,419378700,11456900,-407921800
연기금 등,548684175800,564409294400,15725118600
기관합계,708276503300,724250104300,15973601000
기타법인,68438561800,1777830900,-66660730900
개인,304834773200,125612945200,-179221828000
외국인,251203849258,481633577958,230429728700
기타외국인,1007199400,486428600,-520770800
전체,1333760886958,1333760886958,0
