투자자구분,매도,매수,순매수
금융투자,313026421800,94219188200,-218807233600
보험,5367599200,4390057600,-977541600
투신,12939487600,34419188600,21479701000
사모,21870507500,50017601000,28147093500
은행,954782300,3229333800,2274551500
기타금융,1847230500,647507700,-1199722800
연기금 등,575949526100,615814453500,39864927400
기관합계,931955555000,802737330400,-129218224600
기타법인,17995359600,9788465600,-8206894000
개인,964591198900,488121837400,-476469361500
외국인,436221964050,1053143050350,616921086300
기타외국인,4473341400,1446735200,-3026606200
전체,2355237418950,2355237418950,0
