투자자구분,매도,매수,순매수
금융투자,111988148100,101141207100,-10846941000
보험,7306870800,2863985300,-4442885500
투신,21073768500,13519744900,-7554023600
사모,18742046900,19648095500,906048600
은행,914200,813416400,812502200
기타금융,3976166500,3641600,-3972524900
연기금 등,649428892200,632592153200,-16836739000
기관합계,812516807200,770582244000,-41934563200
기타법인,1980803200,11233416000,9252612800
개인,142145035700,246125322800,103980287100
외국인,500630081176,428996234676,-71633846500
기타외국인,446288000,781797800,335509800
전체,1457719015276,1457719015276,0
