투자자구분,매도,매수,순매수
금융투자,31258060700,193253749700,161995689000
보험,7762555700,3314222000,-4448333700
투신,10748787700,8700332800,-2048454900
사모,14371084400,5936217800,-8434866600
은행,1575500,250982200,249406700
기타금융,17436900,30407600,12970700
연기금 등,302497639200,322062306300,19564667100
기관합계,366657140100,533548218400,166891078300
기타법인,8017070400,4785471500,-3231598900
개인,357714067100,191403481900,-166310585200
외국인,257407021666,262064327966,4657306300
기타외국인,2883690000,877489500,-2006200500
전체,992678989266,992678989266,0
