투자자구분,매도,매수,순매수
금융투자,214336097000,204567142000,-9768955000
보험,3362582000,2115409000,-1247173000
투신,14438595600,15135221700,696626100
사모,21389735400,13526092200,-7863643200
은행,0,936652000,936652000
기타금융,2651329500,3106500,-2648223000
연기금 등,689066153800,666280839300,-22785314500
기관합계,945244493300,902564462700,-42680030600
기타법인,4178512100,10255321500,6076809400
개인,140498558700,269237812000,128739253300
외국인,506946381776,414282043176,-92664338600
기타외국인,362347900,890654400,528306500
전체,1597230293776,1597230293776,0
