투자자구분,매도,매수,순매수
금융투자,134110425600,61510387400,-72600038200
보험,5564604300,4157302500,-1407301800
투신,6310325900,5136977700,-1173348200
사모,9831602500,3509808900,-6321793600
은행,11550400,130655000,119104600
기타금융,14148300,1625800,-12522500
연기금 등,291757258600,276873846100,-14883412500
기관합계,447599915600,351320603400,-96279312200
기타법인,780147000,1953610500,1173463500
개인,80815555000,88582694400,7767139400
외국인,107726651048,195026613048,87299962000
기타외국인,124498600,163245900,38747300
전체,637046767248,637046767248,0
