Date,IR3TIB01CNM156N
2019-01-01,3.24
2019-02-01,2.91
2019-03-01,3.08
2019-04-01,3.0
2019-05-01,3.15
2019-06-01,3.6
2019-07-01,3.16
2019-08-01,3.11
2019-09-01,3.3
2019-10-01,3.46
2019-11-01,3.33
2019-12-01,3.49
