Date,CP0000EZ19M086NEST
2020-01-01,104.37
2020-02-01,104.56
2020-03-01,105.13
2020-04-01,105.43
2020-05-01,105.33
2020-06-01,105.69
2020-07-01,105.32
2020-08-01,104.88
2020-09-01,104.96
2020-10-01,105.15
2020-11-01,104.8
2020-12-01,105.15
