날짜,시가총액,거래량,거래대금,상장주식수
2019-07-01,20806540040,20418,128879050,3307876
2019-07-02,20938855080,8656,54534070,3307876
2019-07-03,20839618800,17560,110529520,3307876
2019-07-04,20905776320,2999,18854290,3307876
2019-07-05,20905776320,3596,22685480,3307876
2019-07-08,20641146240,9671,60285100,3307876
2019-07-09,20641146240,1972,12259090,3307876
2019-07-10,20740382520,2837,17755500,3307876
2019-07-11,20971933840,6547,41562400,3307876
2019-07-12,21170406400,2165,13785470,3307876
2019-07-15,21137327640,2943,18697880,3307876
2019-07-16,21170406400,8311,53143620,3307876
2019-07-17,20971933840,8356,52551600,3307876
2019-07-18,21005012600,2223,14043480,3307876
2019-07-19,21038091360,3780,23986750,3307876
2019-07-22,21038091360,3712,23330490,3307876
2019-07-23,20773461280,6428,40208920,3307876
2019-07-24,20707303760,1396,8726070,3307876
2019-07-25,20508831200,12180,75495710,3307876
2019-07-26,20442673680,5374,33089740,3307876
2019-07-29,20475752440,4344,26866310,3307876
2019-07-30,20409594920,4851,29926340,3307876
2019-07-31,20475752440,4017,24732630,3307876
2019-08-01,20475752440,2278,14026110,3307876
2019-08-02,20442673680,1346,8281430,3307876
2019-08-05,20111886080,10657,64622390,3307876
2019-08-06,19549547160,7772,45934790,3307876
2019-08-07,19781098480,5677,33575710,3307876
2019-08-08,19946492280,2152,13012360,3307876
2019-08-09,20012649800,2174,13144420,3307876
2019-08-12,20078807320,1315,7948250,3307876
2019-08-13,20078807320,1178,7136930,3307876
2019-08-14,20111886080,1330,8073280,3307876
2019-08-16,20178043600,2550,15408400,3307876
2019-08-19,20111886080,3000,18174260,3307876
2019-08-20,20144964840,6086,36571220,3307876
2019-08-21,20409594920,3013,18378480,3307876
2019-08-22,20244201120,3130,19098760,3307876
2019-08-23,20178043600,1290,7834490,3307876
2019-08-26,19880334760,1094,6584620,3307876
2019-08-27,19979571040,2409,14593660,3307876
2019-08-28,20045728560,1375,8274610,3307876
2019-08-29,19880334760,3634,21860030,3307876
2019-08-30,19979571040,290,1742940,3307876
2019-09-02,20111886080,3832,23260140,3307876
2019-09-03,20144964840,163,990870,3307876
2019-09-04,20144964840,1079,6557050,3307876
2019-09-05,20475752440,4226,26135100,3307876
2019-09-06,20442673680,1304,8099470,3307876
2019-09-09,20541909960,6905,42958880,3307876
2019-09-10,20574988720,1801,11206910,3307876
2019-09-11,20806540040,34047,213905160,3307876
2019-09-16,20674225000,2362,14715540,3307876
2019-09-17,20773461280,3688,23019440,3307876
2019-09-18,20773461280,3101,19455910,3307876
2019-09-19,20674225000,6547,40976370,3307876
2019-09-20,20740382520,661,4142750,3307876
2019-09-23,20773461280,2104,13244760,3307876
2019-09-24,21005012600,6784,42977740,3307876
2019-09-25,20839618800,3948,24907480,3307876
2019-09-26,21137327640,34768,221792390,3307876
2019-09-27,21137327640,6645,42609340,3307876
2019-09-30,21236563920,4016,25667050,3307876
