날짜,시가총액,거래량,거래대금,상장주식수
2020-10-05,77475567390,341879,1296165180,20202234
2020-10-06,75556355160,168943,639746900,20202234
2020-10-07,77778600900,1345322,5247900875,20202234
2020-10-08,82627137060,1416859,5705591285,20202234
2020-10-12,83233204080,425121,1731547915,20202234
2020-10-13,84849382800,484634,2033433285,20202234
2020-10-14,82324103550,250038,1023982175,20202234
2020-10-15,84243315780,443294,1850312535,20202234
2020-10-16,79495790790,2547653,11202329000,20202234
2020-10-19,88889829600,11387674,51401549485,20202234
2020-10-20,86465561520,6977139,32122971530,20202234
2020-10-21,85354438650,1215231,5155132575,20202234
2020-10-22,93536343420,3474460,15480835340,20202234
2020-10-23,97172745540,14418063,73465393235,20202234
2020-10-26,105051616800,19834192,104901154700,20202234
2020-10-27,92223198210,2662132,12777567395,20202234
2020-10-28,92829265230,1469723,6641489560,20202234
2020-10-29,88586796090,780828,3451137360,20202234
2020-10-30,85253427480,1123984,4893028960,20202234
2020-11-02,85556460990,936334,3979206565,20202234
2020-11-03,88889829600,1129740,4921701260,20202234
2020-11-04,88889829600,594071,2639925725,20202234
2020-11-05,92021175870,746493,3361326790,20202234
2020-11-06,97374767880,1109169,5203463295,20202234
2020-11-09,96061622670,943913,4482223720,20202234
2020-11-10,93839376930,441243,2040097585,20202234
2020-11-11,93536343420,975159,4533519990,20202234
2020-11-12,93940388100,314535,1446348315,20202234
2020-11-13,92930276400,238690,1091235010,20202234
2020-11-16,97374767880,1132179,5403743755,20202234
2020-11-17,107071840200,2301616,11576453790,20202234
2020-11-18,108485996580,4416111,23960065710,20202234
2020-11-19,109092063600,2509792,13725232270,20202234
2020-11-20,107475884880,2231256,12292037610,20202234
2020-11-23,103031393400,2495217,13263779610,20202234
2020-11-24,102021281700,655975,3344742590,20202234
2020-11-25,99091957770,579576,2871761550,20202234
2020-11-26,98990946600,277008,1360222360,20202234
2020-11-27,97879823730,287159,1387219595,20202234
2020-11-30,95152522140,357632,1699864630,20202234
2020-12-01,95455555650,295339,1392248005,20202234
2020-12-02,93637354590,225417,1051741805,20202234
2020-12-03,94243421610,306782,1417735425,20202234
2020-12-04,91617131190,488517,2235920375,20202234
2020-12-07,89899941300,248887,1105680750,20202234
2020-12-08,88081740240,623233,2732604705,20202234
2020-12-09,89192863110,245283,1080058605,20202234
2020-12-10,88081740240,155956,680796265,20202234
2020-12-11,90404997150,273462,1214896510,20202234
2020-12-14,88687807260,188009,825789140,20202234
2020-12-15,86061516840,246431,1054932770,20202234
2020-12-16,87071628540,118153,510135020,20202234
2020-12-17,87071628540,143835,613748470,20202234
2020-12-18,85455449820,281232,1187602630,20202234
2020-12-21,86970617370,141699,602368145,20202234
2020-12-22,84142304610,161597,682524410,20202234
2020-12-23,83839271100,223795,936163630,20202234
2020-12-24,83536237590,74189,309090530,20202234
2020-12-28,82223092380,137797,562147740,20202234
2020-12-29,84142304610,112553,464098335,20202234
2020-12-30,88788818430,446674,1936870305,20202234
