날짜,시가,고가,저가,종가,거래량,등락률
2024-02-01,7838,8181,5731,5731,974130,-15.47197640117994
2024-02-02,6302,6593,5824,6022,248420,5.077647879951143
2024-02-05,6125,6187,5606,5783,126884,-3.9687811358352705
2024-02-06,5782,5907,5491,5575,45725,-3.5967490921666956
2024-02-07,5575,6073,5575,5918,50446,6.1524663677130045
2024-02-08,5917,5949,5751,5783,19945,-2.2811760729976345
2024-02-13,6011,6011,5637,5710,26915,-1.2623205948469651
2024-02-14,5710,5751,5554,5596,33189,-1.9964973730297721
2024-02-15,5668,5803,5595,5679,18451,1.4832022873481059
2024-02-16,5678,5730,5543,5606,33594,-1.285437577038211
2024-02-19,5606,5678,5502,5575,18382,-0.5529789511237959
2024-02-20,5627,5637,5471,5596,13581,0.3766816143497758
2024-02-21,5595,5658,5460,5658,22972,1.1079342387419584
2024-02-22,5658,5658,5502,5513,17577,-2.562743018734535
2024-02-23,5533,5533,5356,5388,18573,-2.26736803918012
2024-02-26,5388,6717,5253,5513,660932,2.319970304380104
2024-02-27,5574,5668,5419,5606,75968,1.686921821150009
2024-02-28,5606,5679,5461,5482,18220,-2.2119158044951837
2024-02-29,5481,5658,5367,5461,36950,-0.38307187157971545
