BPS,PER,PBR,EPS,DIV,DPS
50817,8.15,1.29,8057,2.2,1444
50817,8.12,1.29,8057,2.21,1444
50817,8.08,1.28,8057,2.22,1444
50817,8.18,1.3,8057,2.19,1444
50817,8.1,1.29,8057,2.21,1444
50817,8.02,1.27,8057,2.24,1444
50817,7.97,1.26,8057,2.25,1444
50817,7.96,1.26,8057,2.25,1444
50817,8.01,1.27,8057,2.24,1444
50817,8.12,1.29,8057,2.21,1444
50817,8.07,1.28,8057,2.22,1444
50817,8.22,1.3,8057,2.18,1444
50817,8.49,1.35,8057,2.11,1444
50817,8.5,1.35,8057,2.11,1444
50817,8.49,1.35,8057,2.11,1444
50817,8.5,1.35,8057,2.11,1444
50817,8.54,1.35,8057,2.1,1444
50817,8.73,1.38,8057,2.05,1444
50817,8.97,1.42,8057,2.0,1444
50817,8.86,1.41,8057,2.02,1444
